longitude,latitude,name,poi_type,concourse
-84.4294302,33.6433782,D42,gate,D
-84.4293789,33.6434061,D44,gate,D
-84.4293104,33.6434053,D46,gate,D
-84.4291605,33.6399403,D11A,gate,D
-84.4292127,33.6376576,D1A,gate,D
-84.4294619,33.6389534,D8A,gate,D
-84.4259024,33.6374532,E2,gate,E
-84.425493,33.637619,E3,gate,E
-84.425906,33.6381588,E4,gate,E
-84.425514,33.638136,E5,gate,E
-84.425908,33.638552,E6,gate,E
-84.425519,33.63868,E7,gate,E
-84.4259105,33.6390343,E8,gate,E
-84.42554,33.639088,E9,gate,E
-84.4259134,33.6396014,E10,gate,E
-84.425562,33.639981,E11,gate,E
-84.4259055,33.6402222,E12,gate,E
-84.424755,33.6409796,E14,gate,E
-84.4241395,33.6405127,E15,gate,E
-84.4236256,33.6407834,E16,gate,E
-84.4235044,33.6405127,E17,gate,E
-84.4232146,33.640801,E18,gate,E
-84.42593,33.6414548,E26,gate,E
-84.4255275,33.6417477,E27,gate,E
-84.4259319,33.6420265,E28,gate,E
-84.4255331,33.6422018,E29,gate,E
-84.425934,33.6426741,E30,gate,E
-84.42554,33.6427603,E31,gate,E
-84.4259361,33.6433439,E32,gate,E
-84.4255447,33.6431372,E33,gate,E
-84.4259371,33.6436342,E34,gate,E
-84.4255525,33.6437689,E35,gate,E
-84.4259375,33.6437592,E36,gate,E
-84.425699,33.643772,E37,gate,E
-84.4197734,33.6375648,F1,gate,F
-84.4199877,33.6375681,F2,gate,F
-84.4196851,33.6379381,F3,gate,F
-84.4200968,33.6382508,F4,gate,F
-84.4196795,33.638483,F5,gate,F
-84.4200978,33.6388716,F6,gate,F
-84.4194147,33.6392158,F7,gate,F
-84.4200988,33.6394879,F8,gate,F
-84.4192882,33.6394654,F9,gate,F
-84.4200995,33.6399747,F10,gate,F
-84.4201438,33.6406804,F12,gate,F
-84.4201428,33.6410421,F14,gate,F
-84.4423234,33.6373172,T1,gate,T
-84.4423353,33.6376081,T2,gate,T
-84.4423247,33.6381665,T3,gate,T
-84.4423211,33.6387941,T4,gate,T
-84.44233,33.639239,T5,gate,T
-84.442313,33.639495,T6,gate,T
-84.4423406,33.6397797,T7,gate,T
-84.4423441,33.6402011,T8,gate,T
-84.4423406,33.6410983,T9,gate,T
-84.4423406,33.6415285,T10,gate,T
-84.44233,33.6417539,T11,gate,T
-84.4423477,33.642349,T12,gate,T
-84.4423388,33.6429545,T13,gate,T
-84.4423406,33.6433641,T14,gate,T
-84.4423388,33.6434672,T15,gate,T
-84.4423396,33.6433981,T17,gate,T
-84.4358622,33.6406772,Concourse B,concourse,B
-84.4293135,33.6409069,Concourse D,concourse,D
-84.4188157,33.6403618,Concourse F,concourse,F
-84.4439128,33.6408294,Baggage Claim,concourse,T
-84.4255319,33.640638,Concourse E,concourse,E
-84.4326106,33.6409154,Concourse C,concourse,C
-84.4391392,33.640921,Concourse A,concourse,A
-84.4424199,33.6408186,Concourse T,concourse,T
-84.4354302,33.6406193,TGI Friday's,restaurant,B
-84.4358165,33.6391991,Sweet Water Bar and Grill,restaurant,B
-84.4325123,33.6421965,Five Guys,fast_food,C
-84.4328261,33.6431272,Baja Fresh,fast_food,C
-84.4327838,33.6410558,Starbucks,coffee,C
-84.4327643,33.6412537,Atlanta Bread Co.,fast_food,C
-84.4327284,33.6382604,Brews and Blues,restaurant,C
-84.432494,33.6405705,Chick-fil-A,fast_food,C
-84.4247168,33.6407364,Arby's,fast_food,C
-84.4254361,33.6408506,Caribou Coffee,fast_food,E
-84.4247248,33.64057,McDonald's,fast_food,E
-84.4254364,33.6409709,Nathans Hot Dogs,fast_food,E
-84.4247167,33.6408129,Panda Express,fast_food,E
-84.4293936,33.642524,Grindhouse Burgers,fast_food,D
-84.4292331,33.6416672,Mustard Seed,restaurant,D
-84.4295194,33.6409398,Garbonzo Grill,fast_food,D
-84.4292307,33.6398528,Five Guys,fast_food,D
-84.4291887,33.640796,food network kitchen,fast_food,D
-84.4294084,33.6391562,Popeye's,fast_food,D
-84.4294084,33.639074,Atlanta Braves Grill,restaurant,D
-84.4292356,33.6381946,Passports,restaurant,D
-84.4446026,33.6408239,Burger King,fast_food,E
-84.4445959,33.6407514,Teriyaki Experience,fast_food,E
-84.4445892,33.6406566,Popeye's,fast_food,E
-84.4450245,33.6407291,IHOP,restaurant,E
-84.4450378,33.6409911,TGI Friday's,restaurant,E
-84.4443883,33.6409075,Starbucks,coffee,E
-84.435753,33.6399581,Popeye's,fast_food,B
-84.4393011,33.6382053,Restroom,toilet,A
-84.4390855,33.637664,Asian Chao,restaurant,A
-84.4292564,33.6428004,Restroom,toilet,D
-84.4327455,33.6414325,Links Grill,fast_food,C
-84.4324606,33.6417087,Starbucks,coffee,C
-84.4327893,33.6411749,Restroom,toilet,C
-84.4361989,33.640598,Willy's Mexicana,fast_food,B
-84.436274,33.6405991,Little Zio,fast_food,B
-84.4363519,33.6406026,Paschal's,fast_food,B
-84.4361886,33.6407032,Cafe Tazza,coffee,B
